Namespace(adam_epsilon=1e-06, batch_num=16, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=4, epoch=10, lr=1e-08, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_adapter', neg_num=1, patience=2, task_name='kgc', tmp_dir='./tmp/checkpoints', weight_decay=0.0001)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
...testing...
KGC: [ el ] | test hit@1:  0.061 hit@10:  0.18115 MRR:  0.08445
KGC: [ en ] | test hit@1:  0.10678 hit@10:  0.24449 MRR:  0.12609
KGC: [ es ] | test hit@1:  0.08851 hit@10:  0.24262 MRR:  0.11544
KGC: [ fr ] | test hit@1:  0.07304 hit@10:  0.20649 MRR:  0.09663
KGC: [ ja ] | test hit@1:  0.03893 hit@10:  0.116 MRR:  0.05583
KGC: [ ast ] | test hit@1:  0.08785 hit@10:  0.25044 MRR:  0.11284
KGC: [ ca ] | test hit@1:  0.08584 hit@10:  0.23352 MRR:  0.1127
KGC: [ da ] | test hit@1:  0.09548 hit@10:  0.25682 MRR:  0.12434
KGC: [ de ] | test hit@1:  0.10052 hit@10:  0.23873 MRR:  0.1239
KGC: [ fa ] | test hit@1:  0.04723 hit@10:  0.12022 MRR:  0.06144
KGC: [ fi ] | test hit@1:  0.07862 hit@10:  0.21456 MRR:  0.10476
KGC: [ hu ] | test hit@1:  0.08561 hit@10:  0.21853 MRR:  0.10804
KGC: [ it ] | test hit@1:  0.07609 hit@10:  0.215 MRR:  0.10122
KGC: [ nb ] | test hit@1:  0.10121 hit@10:  0.25653 MRR:  0.12983
KGC: [ nl ] | test hit@1:  0.08689 hit@10:  0.2456 MRR:  0.11714
KGC: [ pl ] | test hit@1:  0.08372 hit@10:  0.20113 MRR:  0.10395
KGC: [ pt ] | test hit@1:  0.09579 hit@10:  0.23367 MRR:  0.1174
KGC: [ ru ] | test hit@1:  0.05438 hit@10:  0.13994 MRR:  0.06895
KGC: [ sv ] | test hit@1:  0.10224 hit@10:  0.23889 MRR:  0.12679
KGC: [ zh ] | test hit@1:  0.04709 hit@10:  0.13778 MRR:  0.06613
...testing...
KGC: [ el ] | test hit@1:  0.06932 hit@10:  0.21349 MRR:  0.09498
KGC: [ en ] | test hit@1:  0.11731 hit@10:  0.27323 MRR:  0.14017
