Namespace(adam_epsilon=1e-06, batch_num=16, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=6, epoch=10, lr=1e-08, model_dir='/cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base', model_name='XLM', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/xlm_adapter', neg_num=1, patience=2, task_name='kgc', tmp_dir='./tmp/checkpoints', weight_decay=0.0001)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base were not used when initializing XLMRobertaModel: ['lm_head.dense.bias', 'lm_head.bias', 'lm_head.layer_norm.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base were not used when initializing XLMRobertaModel: ['lm_head.dense.bias', 'lm_head.bias', 'lm_head.layer_norm.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
...testing...
KGC: [ el ] | test hit@1:  0.02126 hit@10:  0.05453 MRR:  0.02914
KGC: [ en ] | test hit@1:  0.00652 hit@10:  0.01471 MRR:  0.00917
KGC: [ es ] | test hit@1:  0.00805 hit@10:  0.01683 MRR:  0.01028
KGC: [ fr ] | test hit@1:  0.00676 hit@10:  0.01217 MRR:  0.00952
KGC: [ ja ] | test hit@1:  0.01012 hit@10:  0.03075 MRR:  0.01625
KGC: [ ast ] | test hit@1:  0.00708 hit@10:  0.01984 MRR:  0.01126
KGC: [ ca ] | test hit@1:  0.00912 hit@10:  0.02197 MRR:  0.01337
KGC: [ da ] | test hit@1:  0.01247 hit@10:  0.02728 MRR:  0.01648
KGC: [ de ] | test hit@1:  0.00887 hit@10:  0.01922 MRR:  0.01282
KGC: [ fa ] | test hit@1:  0.01374 hit@10:  0.0322 MRR:  0.0184
KGC: [ fi ] | test hit@1:  0.01123 hit@10:  0.02517 MRR:  0.01585
KGC: [ hu ] | test hit@1:  0.01134 hit@10:  0.02658 MRR:  0.01536
KGC: [ it ] | test hit@1:  0.01024 hit@10:  0.0202 MRR:  0.01297
KGC: [ nb ] | test hit@1:  0.01215 hit@10:  0.02466 MRR:  0.01699
KGC: [ nl ] | test hit@1:  0.00834 hit@10:  0.01784 MRR:  0.01167
KGC: [ pl ] | test hit@1:  0.00767 hit@10:  0.02268 MRR:  0.01262
KGC: [ pt ] | test hit@1:  0.00879 hit@10:  0.02261 MRR:  0.01352
KGC: [ ru ] | test hit@1:  0.00935 hit@10:  0.02044 MRR:  0.01331
KGC: [ sv ] | test hit@1:  0.00902 hit@10:  0.02105 MRR:  0.01339
KGC: [ zh ] | test hit@1:  0.01196 hit@10:  0.0301 MRR:  0.01746
...testing...
KGC: [ el ] | test hit@1:  0.02403 hit@10:  0.05453 MRR:  0.03347
KGC: [ en ] | test hit@1:  0.00535 hit@10:  0.01521 MRR:  0.00863
KGC: [ es ] | test hit@1:  0.00536 hit@10:  0.01658 MRR:  0.00927
