Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.decoder.weight', 'lm_head.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Namespace(adam_epsilon=1e-08, batch_num=16, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=7, epoch=50, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/', model_name='XLM-KG', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/xlm_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
KGC: [ el ] | training loss:  1.9803 | val loss:  1.4846 | hit@1:  0.1377 hit@10:  0.3736
KGC: [ el ] | training loss:  1.3356 | val loss:  1.3106 | hit@1:  0.0757 hit@10:  0.3795
KGC: [ el ] | training loss:  1.2018 | val loss:  1.1252 | hit@1:  0.1121 hit@10:  0.3992
KGC: [ el ] | training loss:  1.7267 | val loss:  1.3808 | hit@1:  0.1131 hit@10:  0.3166
KGC: [ el ] | training loss:  1.2123 | val loss:  1.1897 | hit@1:  0.1268 hit@10:  0.3884
KGC: [ el ] | training loss:  1.147 | val loss:  1.3483 | hit@1:  0.0934 hit@10:  0.4002
KGC: [ el ] | training loss:  1.3134 | val loss:  1.3463 | hit@1:  0.1347 hit@10:  0.3815
KGC: [ el ] | training loss:  1.2188 | val loss:  1.267 | hit@1:  0.0757 hit@10:  0.2763
KGC: [ el ] | training loss:  1.1775 | val loss:  1.0994 | hit@1:  0.1554 hit@10:  0.4081
KGC: [ el ] | training loss:  1.0512 | val loss:  1.0408 | hit@1:  0.1357 hit@10:  0.3845
KGC: [ el ] | training loss:  1.2978 | val loss:  1.3882 | hit@1:  0.1072 hit@10:  0.3068
KGC: [ el ] | training loss:  1.134 | val loss:  1.1418 | hit@1:  0.119 hit@10:  0.3245
KGC: [ el ] | training loss:  1.1361 | val loss:  1.1673 | hit@1:  0.1111 hit@10:  0.2881
KGC: [ el ] | training loss:  1.1136 | val loss:  1.1404 | hit@1:  0.1475 hit@10:  0.3943
KGC: [ el ] | training loss:  1.0418 | val loss:  1.0537 | hit@1:  0.0718 hit@10:  0.352
KGC: [ el ] | training loss:  1.003 | val loss:  1.0732 | hit@1:  0.1268 hit@10:  0.4041
KGC: [ el ] | training loss:  0.9405 | val loss:  1.0139 | hit@1:  0.1426 hit@10:  0.4071
KGC: [ el ] | training loss:  0.9912 | val loss:  1.1097 | hit@1:  0.1337 hit@10:  0.4002
KGC: [ el ] | training loss:  1.0274 | val loss:  1.0879 | hit@1:  0.1337 hit@10:  0.3805
KGC: [ el ] | training loss:  1.0185 | val loss:  1.1323 | hit@1:  0.1131 hit@10:  0.3913
KGC: [ el ] | training loss:  0.98 | val loss:  1.0488 | hit@1:  0.0954 hit@10:  0.4071
KGC: [ el ] | training loss:  0.9724 | val loss:  1.0723 | hit@1:  0.1308 hit@10:  0.414
KGC: [ el ] | training loss:  0.9818 | val loss:  1.1352 | hit@1:  0.1367 hit@10:  0.3992
KGC: [ el ] | training loss:  0.9761 | val loss:  1.0217 | hit@1:  0.1416 hit@10:  0.4248
KGC: [ el ] | training loss:  0.949 | val loss:  1.1111 | hit@1:  0.1288 hit@10:  0.4071
KGC: [ el ] | training loss:  0.9207 | val loss:  1.0343 | hit@1:  0.1082 hit@10:  0.41
KGC: [ el ] | training loss:  0.9666 | val loss:  1.0591 | hit@1:  0.1032 hit@10:  0.4012
KGC: [ el ] | training loss:  0.9642 | val loss:  1.0906 | hit@1:  0.1072 hit@10:  0.4435
KGC: [ el ] | training loss:  0.9123 | val loss:  1.105 | hit@1:  0.0747 hit@10:  0.4159
KGC: [ el ] | training loss:  0.9403 | val loss:  1.0773 | hit@1:  0.0973 hit@10:  0.3599
KGC: [ el ] | training loss:  0.9404 | val loss:  1.0793 | hit@1:  0.1023 hit@10:  0.411
KGC: [ el ] | training loss:  0.9604 | val loss:  1.1482 | hit@1:  0.0452 hit@10:  0.3147
KGC: [ el ] | training loss:  1.1033 | val loss:  1.251 | hit@1:  0.061 hit@10:  0.4051
KGC: [ el ] | training loss:  1.0963 | val loss:  1.2502 | hit@1:  0.0757 hit@10:  0.4336
KGC: [ el ] | training loss:  1.0835 | val loss:  1.2364 | hit@1:  0.0934 hit@10:  0.4169
KGC: [ el ] | training loss:  1.128 | val loss:  1.19 | hit@1:  0.0708 hit@10:  0.3854
KGC: [ el ] | training loss:  1.0542 | val loss:  1.1366 | hit@1:  0.0501 hit@10:  0.3717
KGC: [ el ] | training loss:  1.0376 | val loss:  1.0762 | hit@1:  0.1023 hit@10:  0.4307
KGC: [ el ] | training loss:  0.9704 | val loss:  1.0927 | hit@1:  0.0639 hit@10:  0.4061
