Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=0, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.8937 | val hit@1:  0.0813 hit@10:  0.2819
KGC: [ el ] | test hit@1:  0.1534 hit@10:  0.4346
KGC: [ en ] | test hit@1:  0.1105 hit@10:  0.3383
KGC: [ es ] | test hit@1:  0.1532 hit@10:  0.4166
KGC: [ fr ] | test hit@1:  0.1697 hit@10:  0.4375
KGC: [ ja ] | test hit@1:  0.1684 hit@10:  0.3575
----KGC: loss:  0.5532 | val hit@1:  0.0937 hit@10:  0.3378
KGC: [ el ] | test hit@1:  0.1691 hit@10:  0.4749
KGC: [ en ] | test hit@1:  0.1261 hit@10:  0.4168
KGC: [ es ] | test hit@1:  0.1678 hit@10:  0.4599
KGC: [ fr ] | test hit@1:  0.1954 hit@10:  0.4944
KGC: [ ja ] | test hit@1:  0.1795 hit@10:  0.3969
----KGC: loss:  0.4687 | val hit@1:  0.0916 hit@10:  0.3474
KGC: [ el ] | test hit@1:  0.1681 hit@10:  0.5133
KGC: [ en ] | test hit@1:  0.1443 hit@10:  0.4488
KGC: [ es ] | test hit@1:  0.1721 hit@10:  0.4819
KGC: [ fr ] | test hit@1:  0.2127 hit@10:  0.526
KGC: [ ja ] | test hit@1:  0.1869 hit@10:  0.4075
----KGC: loss:  0.3979 | val hit@1:  0.0965 hit@10:  0.379
KGC: [ el ] | test hit@1:  0.1809 hit@10:  0.5182
KGC: [ en ] | test hit@1:  0.1444 hit@10:  0.466
KGC: [ es ] | test hit@1:  0.1736 hit@10:  0.5077
KGC: [ fr ] | test hit@1:  0.2098 hit@10:  0.5435
KGC: [ ja ] | test hit@1:  0.1901 hit@10:  0.4251
----KGC: loss:  0.3626 | val hit@1:  0.1014 hit@10:  0.375
KGC: [ el ] | test hit@1:  0.1681 hit@10:  0.5103
KGC: [ en ] | test hit@1:  0.1558 hit@10:  0.4668
KGC: [ es ] | test hit@1:  0.158 hit@10:  0.5064
