Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=2, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.8994 | val hit@1:  0.0705 hit@10:  0.2801
KGC: [ el ] | test hit@1:  0.118 hit@10:  0.4336
KGC: [ en ] | test hit@1:  0.1032 hit@10:  0.3581
KGC: [ es ] | test hit@1:  0.121 hit@10:  0.4029
KGC: [ fr ] | test hit@1:  0.1738 hit@10:  0.4347
KGC: [ ja ] | test hit@1:  0.1073 hit@10:  0.3742
----KGC: loss:  0.5646 | val hit@1:  0.0803 hit@10:  0.3045
KGC: [ el ] | test hit@1:  0.1534 hit@10:  0.473
KGC: [ en ] | test hit@1:  0.0912 hit@10:  0.4003
KGC: [ es ] | test hit@1:  0.126 hit@10:  0.448
KGC: [ fr ] | test hit@1:  0.1748 hit@10:  0.4843
KGC: [ ja ] | test hit@1:  0.1735 hit@10:  0.3862
----KGC: loss:  0.4665 | val hit@1:  0.0961 hit@10:  0.3447
KGC: [ el ] | test hit@1:  0.1475 hit@10:  0.4818
KGC: [ en ] | test hit@1:  0.14 hit@10:  0.4268
KGC: [ es ] | test hit@1:  0.1441 hit@10:  0.4644
KGC: [ fr ] | test hit@1:  0.1863 hit@10:  0.497
KGC: [ ja ] | test hit@1:  0.1873 hit@10:  0.4061
----KGC: loss:  0.4152 | val hit@1:  0.0953 hit@10:  0.3554
KGC: [ el ] | test hit@1:  0.1367 hit@10:  0.5034
KGC: [ en ] | test hit@1:  0.1427 hit@10:  0.4424
KGC: [ es ] | test hit@1:  0.163 hit@10:  0.4952
KGC: [ fr ] | test hit@1:  0.2067 hit@10:  0.5227
KGC: [ ja ] | test hit@1:  0.1859 hit@10:  0.4214
----KGC: loss:  0.3773 | val hit@1:  0.0981 hit@10:  0.3753
KGC: [ el ] | test hit@1:  0.1613 hit@10:  0.5398
KGC: [ en ] | test hit@1:  0.1535 hit@10:  0.4555
KGC: [ es ] | test hit@1:  0.1778 hit@10:  0.5054
KGC: [ fr ] | test hit@1:  0.204 hit@10:  0.5361
KGC: [ ja ] | test hit@1:  0.1822 hit@10:  0.4177
----KGC: loss:  0.3493 | val hit@1:  0.0973 hit@10:  0.3732
KGC: [ el ] | test hit@1:  0.1504 hit@10:  0.5388
KGC: [ en ] | test hit@1:  0.1501 hit@10:  0.4654
KGC: [ es ] | test hit@1:  0.1746 hit@10:  0.5154
KGC: [ fr ] | test hit@1:  0.2095 hit@10:  0.5421
KGC: [ ja ] | test hit@1:  0.1924 hit@10:  0.4334
----KGC: loss:  0.3292 | val hit@1:  0.0922 hit@10:  0.3751
KGC: [ el ] | test hit@1:  0.1672 hit@10:  0.5172
KGC: [ en ] | test hit@1:  0.1395 hit@10:  0.4611
KGC: [ es ] | test hit@1:  0.1755 hit@10:  0.515
KGC: [ fr ] | test hit@1:  0.2007 hit@10:  0.5402
KGC: [ ja ] | test hit@1:  0.1864 hit@10:  0.4352
----KGC: loss:  0.3092 | val hit@1:  0.1001 hit@10:  0.3806
KGC: [ el ] | test hit@1:  0.178 hit@10:  0.5388
KGC: [ en ] | test hit@1:  0.1257 hit@10:  0.4625
KGC: [ es ] | test hit@1:  0.168 hit@10:  0.5154
KGC: [ fr ] | test hit@1:  0.2047 hit@10:  0.5445
KGC: [ ja ] | test hit@1:  0.1859 hit@10:  0.4477
----KGC: loss:  0.3037 | val hit@1:  0.093 hit@10:  0.3788
KGC: [ el ] | test hit@1:  0.1327 hit@10:  0.5438
KGC: [ en ] | test hit@1:  0.1322 hit@10:  0.4684
KGC: [ es ] | test hit@1:  0.1651 hit@10:  0.5289
KGC: [ fr ] | test hit@1:  0.2026 hit@10:  0.5574
KGC: [ ja ] | test hit@1:  0.1836 hit@10:  0.4334
----KGC: loss:  0.2963 | val hit@1:  0.103 hit@10:  0.3757
KGC: [ el ] | test hit@1:  0.1711 hit@10:  0.5359
KGC: [ en ] | test hit@1:  0.1498 hit@10:  0.4494
KGC: [ es ] | test hit@1:  0.1684 hit@10:  0.5112
