Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=3, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.9133 | val hit@1:  0.0558 hit@10:  0.2645
KGC: [ el ] | test hit@1:  0.1475 hit@10:  0.411
KGC: [ en ] | test hit@1:  0.0803 hit@10:  0.3254
KGC: [ es ] | test hit@1:  0.0659 hit@10:  0.4008
KGC: [ fr ] | test hit@1:  0.1671 hit@10:  0.4179
KGC: [ ja ] | test hit@1:  0.0971 hit@10:  0.3173
----KGC: loss:  0.5519 | val hit@1:  0.0927 hit@10:  0.3233
KGC: [ el ] | test hit@1:  0.1544 hit@10:  0.4759
KGC: [ en ] | test hit@1:  0.1296 hit@10:  0.4081
KGC: [ es ] | test hit@1:  0.1339 hit@10:  0.448
KGC: [ fr ] | test hit@1:  0.1997 hit@10:  0.4771
KGC: [ ja ] | test hit@1:  0.1744 hit@10:  0.4001
----KGC: loss:  0.4503 | val hit@1:  0.0955 hit@10:  0.3408
KGC: [ el ] | test hit@1:  0.1731 hit@10:  0.4916
KGC: [ en ] | test hit@1:  0.1329 hit@10:  0.4256
KGC: [ es ] | test hit@1:  0.162 hit@10:  0.4647
KGC: [ fr ] | test hit@1:  0.1995 hit@10:  0.4915
KGC: [ ja ] | test hit@1:  0.1929 hit@10:  0.4019
----KGC: loss:  0.4003 | val hit@1:  0.0967 hit@10:  0.3666
KGC: [ el ] | test hit@1:  0.1416 hit@10:  0.4916
KGC: [ en ] | test hit@1:  0.1411 hit@10:  0.4392
KGC: [ es ] | test hit@1:  0.1447 hit@10:  0.4838
KGC: [ fr ] | test hit@1:  0.1992 hit@10:  0.5123
KGC: [ ja ] | test hit@1:  0.1859 hit@10:  0.4135
----KGC: loss:  0.3772 | val hit@1:  0.0881 hit@10:  0.3675
KGC: [ el ] | test hit@1:  0.1691 hit@10:  0.4995
KGC: [ en ] | test hit@1:  0.1202 hit@10:  0.446
KGC: [ es ] | test hit@1:  0.1636 hit@10:  0.5006
KGC: [ fr ] | test hit@1:  0.1556 hit@10:  0.5306
KGC: [ ja ] | test hit@1:  0.1943 hit@10:  0.4288
----KGC: loss:  0.342 | val hit@1:  0.0973 hit@10:  0.3663
KGC: [ el ] | test hit@1:  0.175 hit@10:  0.5034
KGC: [ en ] | test hit@1:  0.1332 hit@10:  0.4428
KGC: [ es ] | test hit@1:  0.1705 hit@10:  0.4948
KGC: [ fr ] | test hit@1:  0.194 hit@10:  0.5291
KGC: [ ja ] | test hit@1:  0.1929 hit@10:  0.4399
----KGC: loss:  0.3224 | val hit@1:  0.0961 hit@10:  0.3743
KGC: [ el ] | test hit@1:  0.1583 hit@10:  0.5329
KGC: [ en ] | test hit@1:  0.1458 hit@10:  0.455
KGC: [ es ] | test hit@1:  0.1738 hit@10:  0.5141
KGC: [ fr ] | test hit@1:  0.2007 hit@10:  0.5426
KGC: [ ja ] | test hit@1:  0.1961 hit@10:  0.4362
----KGC: loss:  0.3041 | val hit@1:  0.1029 hit@10:  0.3847
KGC: [ el ] | test hit@1:  0.116 hit@10:  0.5152
KGC: [ en ] | test hit@1:  0.1403 hit@10:  0.4662
KGC: [ es ] | test hit@1:  0.1703 hit@10:  0.5306
KGC: [ fr ] | test hit@1:  0.2009 hit@10:  0.5565
KGC: [ ja ] | test hit@1:  0.191 hit@10:  0.4329
----KGC: loss:  0.2998 | val hit@1:  0.0921 hit@10:  0.379
KGC: [ el ] | test hit@1:  0.1583 hit@10:  0.5408
KGC: [ en ] | test hit@1:  0.1463 hit@10:  0.4661
KGC: [ es ] | test hit@1:  0.1684 hit@10:  0.5227
KGC: [ fr ] | test hit@1:  0.1925 hit@10:  0.5589
KGC: [ ja ] | test hit@1:  0.1841 hit@10:  0.426
----KGC: loss:  0.3016 | val hit@1:  0.0964 hit@10:  0.3675
KGC: [ el ] | test hit@1:  0.1475 hit@10:  0.5261
KGC: [ en ] | test hit@1:  0.1432 hit@10:  0.4586
KGC: [ es ] | test hit@1:  0.1543 hit@10:  0.5046
KGC: [ fr ] | test hit@1:  0.2117 hit@10:  0.5495
KGC: [ ja ] | test hit@1:  0.1846 hit@10:  0.4297
The performance (hit@1, hit@10) of language [ ja ] is:  [0.48760330578512395, 0.2009, 0.5565]
