Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=2, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT-KG', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.93 | val hit@1:  0.0657 hit@10:  0.2572
KGC: [ el ] | test hit@1:  0.1603 hit@10:  0.4494
KGC: [ en ] | test hit@1:  0.1076 hit@10:  0.3406
KGC: [ es ] | test hit@1:  0.1374 hit@10:  0.4012
KGC: [ fr ] | test hit@1:  0.1702 hit@10:  0.4462
KGC: [ ja ] | test hit@1:  0.167 hit@10:  0.3617
----KGC: loss:  0.5877 | val hit@1:  0.0798 hit@10:  0.3031
KGC: [ el ] | test hit@1:  0.1426 hit@10:  0.4592
KGC: [ en ] | test hit@1:  0.1133 hit@10:  0.3688
KGC: [ es ] | test hit@1:  0.1522 hit@10:  0.431
KGC: [ fr ] | test hit@1:  0.1685 hit@10:  0.4673
KGC: [ ja ] | test hit@1:  0.1735 hit@10:  0.3594
----KGC: loss:  0.5057 | val hit@1:  0.0815 hit@10:  0.3264
KGC: [ el ] | test hit@1:  0.1455 hit@10:  0.4808
KGC: [ en ] | test hit@1:  0.1247 hit@10:  0.3936
KGC: [ es ] | test hit@1:  0.1609 hit@10:  0.4526
KGC: [ fr ] | test hit@1:  0.1944 hit@10:  0.4912
KGC: [ ja ] | test hit@1:  0.1832 hit@10:  0.4098
----KGC: loss:  0.455 | val hit@1:  0.0915 hit@10:  0.3452
KGC: [ el ] | test hit@1:  0.1691 hit@10:  0.4916
KGC: [ en ] | test hit@1:  0.1348 hit@10:  0.4236
KGC: [ es ] | test hit@1:  0.168 hit@10:  0.4703
KGC: [ fr ] | test hit@1:  0.1976 hit@10:  0.5159
KGC: [ ja ] | test hit@1:  0.1341 hit@10:  0.4177
----KGC: loss:  0.4159 | val hit@1:  0.0952 hit@10:  0.343
KGC: [ el ] | test hit@1:  0.1504 hit@10:  0.5251
KGC: [ en ] | test hit@1:  0.1278 hit@10:  0.4248
KGC: [ es ] | test hit@1:  0.1611 hit@10:  0.4898
