Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=4, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT-KG', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.9214 | val hit@1:  0.0714 hit@10:  0.289
KGC: [ el ] | test hit@1:  0.1426 hit@10:  0.4533
KGC: [ en ] | test hit@1:  0.077 hit@10:  0.3325
KGC: [ es ] | test hit@1:  0.0979 hit@10:  0.3911
KGC: [ fr ] | test hit@1:  0.159 hit@10:  0.4287
KGC: [ ja ] | test hit@1:  0.1846 hit@10:  0.3677
----KGC: loss:  0.594 | val hit@1:  0.07 hit@10:  0.2838
KGC: [ el ] | test hit@1:  0.1681 hit@10:  0.4484
KGC: [ en ] | test hit@1:  0.1036 hit@10:  0.358
KGC: [ es ] | test hit@1:  0.1459 hit@10:  0.4112
KGC: [ fr ] | test hit@1:  0.1796 hit@10:  0.4526
KGC: [ ja ] | test hit@1:  0.1799 hit@10:  0.3631
----KGC: loss:  0.516 | val hit@1:  0.0686 hit@10:  0.3019
KGC: [ el ] | test hit@1:  0.1455 hit@10:  0.4592
KGC: [ en ] | test hit@1:  0.103 hit@10:  0.3691
KGC: [ es ] | test hit@1:  0.1266 hit@10:  0.4216
KGC: [ fr ] | test hit@1:  0.1762 hit@10:  0.4608
KGC: [ ja ] | test hit@1:  0.173 hit@10:  0.3751
----KGC: loss:  0.4522 | val hit@1:  0.0841 hit@10:  0.3318
KGC: [ el ] | test hit@1:  0.1593 hit@10:  0.4513
KGC: [ en ] | test hit@1:  0.125 hit@10:  0.407
KGC: [ es ] | test hit@1:  0.1597 hit@10:  0.4503
KGC: [ fr ] | test hit@1:  0.1887 hit@10:  0.4982
KGC: [ ja ] | test hit@1:  0.1767 hit@10:  0.4006
----KGC: loss:  0.4332 | val hit@1:  0.0828 hit@10:  0.3411
KGC: [ el ] | test hit@1:  0.1249 hit@10:  0.4877
KGC: [ en ] | test hit@1:  0.1187 hit@10:  0.4223
KGC: [ es ] | test hit@1:  0.1551 hit@10:  0.4647
KGC: [ fr ] | test hit@1:  0.1899 hit@10:  0.5071
KGC: [ ja ] | test hit@1:  0.1846 hit@10:  0.4154
----KGC: loss:  0.3959 | val hit@1:  0.0896 hit@10:  0.3464
KGC: [ el ] | test hit@1:  0.1377 hit@10:  0.4818
KGC: [ en ] | test hit@1:  0.1383 hit@10:  0.442
