Namespace(adam_epsilon=1e-06, batch_num=50, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=6, epoch=10, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased', model_name='mBERT-KG', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/mbert_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
----KGC: loss:  0.9176 | val hit@1:  0.0546 hit@10:  0.2689
KGC: [ el ] | test hit@1:  0.1396 hit@10:  0.4336
KGC: [ en ] | test hit@1:  0.0815 hit@10:  0.3257
KGC: [ es ] | test hit@1:  0.1264 hit@10:  0.3946
KGC: [ fr ] | test hit@1:  0.182 hit@10:  0.4318
KGC: [ ja ] | test hit@1:  0.1022 hit@10:  0.3455
----KGC: loss:  0.5793 | val hit@1:  0.0909 hit@10:  0.3084
KGC: [ el ] | test hit@1:  0.1573 hit@10:  0.4612
KGC: [ en ] | test hit@1:  0.1207 hit@10:  0.3746
KGC: [ es ] | test hit@1:  0.1422 hit@10:  0.4351
KGC: [ fr ] | test hit@1:  0.186 hit@10:  0.4737
KGC: [ ja ] | test hit@1:  0.1841 hit@10:  0.3797
----KGC: loss:  0.5067 | val hit@1:  0.0788 hit@10:  0.316
KGC: [ el ] | test hit@1:  0.1534 hit@10:  0.4916
KGC: [ en ] | test hit@1:  0.1234 hit@10:  0.3958
KGC: [ es ] | test hit@1:  0.1588 hit@10:  0.4563
KGC: [ fr ] | test hit@1:  0.2047 hit@10:  0.4936
KGC: [ ja ] | test hit@1:  0.1887 hit@10:  0.3908
----KGC: loss:  0.4594 | val hit@1:  0.0976 hit@10:  0.3483
KGC: [ el ] | test hit@1:  0.1593 hit@10:  0.5025
KGC: [ en ] | test hit@1:  0.1375 hit@10:  0.4275
KGC: [ es ] | test hit@1:  0.1642 hit@10:  0.478
KGC: [ fr ] | test hit@1:  0.2091 hit@10:  0.5159
KGC: [ ja ] | test hit@1:  0.1822 hit@10:  0.4297
----KGC: loss:  0.4078 | val hit@1:  0.097 hit@10:  0.3427
KGC: [ el ] | test hit@1:  0.1622 hit@10:  0.5025
KGC: [ en ] | test hit@1:  0.1355 hit@10:  0.4337
KGC: [ es ] | test hit@1:  0.1709 hit@10:  0.4923
