Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/ were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.dense.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Namespace(adam_epsilon=1e-08, batch_num=16, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=6, epoch=50, lm_lr=1e-06, lr=1e-06, model_dir='/cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base/', model_name='XLM', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/xlm_80/final_v3.pt', neg_num=1, patience=2, tmp_dir='./tmp/checkpoints', weight_decay=0.005)
KGC: [ el ] | training loss:  2.8147 | val loss:  2.7373 | hit@1:  0.001 hit@10:  0.0157
KGC: [ el ] | training loss:  2.8194 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0246
KGC: [ el ] | training loss:  2.8329 | val loss:  2.8304 | hit@1:  0.001 hit@10:  0.0354
KGC: [ el ] | training loss:  2.8322 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0147
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0157
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0256
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0256
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0246
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0226
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0226
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0226
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0197
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0216
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0226
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.0049 hit@10:  0.0216
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0216
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0187
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0521
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0108
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0108
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0118
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0138
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0108
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0098
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0098
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0108
KGC: [ el ] | training loss:  2.8328 | val loss:  2.8308 | hit@1:  0.0029 hit@10:  0.0285
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0138
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0157
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0187
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0147
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0157
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0157
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.0029 hit@10:  0.0206
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.0029 hit@10:  0.0197
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.0039 hit@10:  0.0167
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.002 hit@10:  0.0265
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0138
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.056
KGC: [ el ] | training loss:  2.833 | val loss:  2.8308 | hit@1:  0.001 hit@10:  0.0216
